profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageReputationEarned,averageIncome,averageUpkeep,averageLevelUpSpend,averageXpGranted,averageLevelUpsBought,averageOrdersCompleted,averageCleanSuccesses,averageMessySuccesses,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageCaseQuality
Investigator,10,0,1753,1683.9,1653,1583.9,3,3,1246.55,5363,1261.4,2494.7,10357.4,27.5,47.3,30.8,15.2,1.7,15.1,15.5,1.3,6.7,139.079,2.622,64.326,52.152,0.87
Middle-ground,10,0,910.5,951.4,810.5,851.4,3,2.7,740.85,3459.1,920.6,1671.1,6839.7,20.1,44,11.4,31.1,3.1,0.3,14.8,1.6,6.567,120.758,2.132,47.552,45.055,0.366
Traiter,10,0,1076.5,1060.5,976.5,960.5,3,2.8,890.15,3475.8,936,1569.3,6590.9,18.4,45.4,13.5,30.9,2.6,3.8,14.5,1,6.4,120.711,2.015,45.999,40.921,0.74
Lazy,10,0,1742.5,1716.1,1642.5,1616.1,2,2,435.3,2557.8,928.7,0,5821.9,0,32.4,3.5,27.9,9.9,0,20.4,1.3,1.3,99.757,2.462,34.38,42.72,0.177
