profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageReputationEarned,averageIncome,averageUpkeep,averageLevelUpSpend,averageXpGranted,averageLevelUpsBought,averageOrdersCompleted,averageCleanSuccesses,averageMessySuccesses,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageEndingHunterLevel,averageSuccessChance,averagePartyPower,averageRequiredPower,averageCaseQuality
Investigator,10,0,850,838.7,750,738.7,2,2,339.75,2450.7,1059.4,582.6,1799.2,9.6,27.4,12.8,10.8,20.3,12.6,18.6,6.3,2.917,56.862,17.232,38.59,1
Middle-ground,10,0,749.5,714.2,649.5,614.2,2,1.9,247.85,1819.8,783.3,366.3,1354.1,6.3,21.2,3.7,14.1,20.1,0.6,14.9,6,2.55,53.385,16.283,38.795,0.379
Traiter,10,0.1,626.5,710,526.5,607.3,2,1.9,265.95,1758.6,719.5,378.8,1361.7,6.6,22.8,4.4,15.4,17.7,5.2,13.4,5.8,2.333,54.326,16.168,35.517,0.74
Lazy,10,0.1,739.5,762.5,639.5,660.7,2,1.9,189,1448.5,740.8,0,1093.1,0,17.3,0.5,14.2,18.4,0,15.4,4.8,1.317,49.649,13.857,36.258,0.159
