profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageReputationEarned,averageDayReachedRep2,averageDayReachedRep3,averageDayReachedRep4,averageIncome,averageUpkeep,averageLevelUpSpend,averageXpGranted,averageLevelUpsBought,averageOrdersCompleted,averageCleanSuccesses,averageMessySuccesses,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageCaseQuality
Investigator,10,0,2025.5,2043,1925.5,1943,4,4,4001.225,1,2.4,6.2,5378.4,1229.6,2182.8,8847.9,25.1,33.7,14,18.4,1.4,27.7,15.3,1.3,6.15,125.306,2.756,64.477,59.992,0.737
Middle-ground,10,0,1435.5,1429.5,1335.5,1329.5,4,3.9,2424.188,1.4,3.6,8.222,3827.7,936,1545.2,6416.7,18.5,32.2,5.9,24.7,3.1,0.2,15.6,1.9,5.8,112.043,2.373,51.937,55.437,0.376
Traiter,10,0,1378.5,1421.4,1278.5,1321.4,4,3.8,3030.988,1.4,4.1,7.625,3900.5,947.5,1622.6,6712.8,18.6,31.7,6.6,24,1.5,4,16.1,1.1,6.383,113.19,2.346,55.076,52.81,0.739
Lazy,10,0,2576,2523.4,2476,2423.4,3,3.1,1588.488,1.5,4.5,10,3368.9,931.5,0,6024.6,0,27.6,1.5,25.3,10.5,0,19.1,1.4,1.333,84.984,2.455,34.876,52.63,0.156
