profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageReputationEarned,averageIncome,averageUpkeep,averageLevelUpSpend,averageXpGranted,averageLevelUpsBought,averageOrdersCompleted,averageCleanSuccesses,averageMessySuccesses,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageCaseQuality
Investigator,10,0.2,977,1082.9,877,963.3,3,2.7,1347.55,3688.9,1003.7,1698.9,7271.2,19.8,36.9,22,13.7,1,12.2,15.1,1.4,4.925,138.782,2.609,55.49,44.265,0.888
Middle-ground,10,0,485,655.5,385,555.5,2,2.4,586.15,2818.1,909.8,1335.8,5636.1,16.9,38.6,9.2,27.9,5.3,0.3,18.1,1.6,5.5,114.91,2.042,42.298,42.732,0.364
Traiter,10,0,598.5,725.8,498.5,625.8,2.5,2.5,704.35,2952.2,926.8,1385.6,5728.9,17.4,39.6,9.9,28.4,2.1,3,16.9,1.4,5.833,124.593,2.117,45.966,40.078,0.722
Lazy,10,0,1539.5,1653.9,1439.5,1553.9,2,2,435.65,2480.1,909.2,0,6030.5,0,32.5,2.9,28,8.2,0,20.3,1.9,1.233,97.448,2.37,33.552,42.495,0.189
