profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageIncome,averageUpkeep,averageOrdersCompleted,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageSuccessChance,averageCaseQuality
Investigator,10,0.1,179.5,159,79.5,52.8,1,1,1137.2,1010.4,2.2,42.9,10.9,15.1,6.9,3.93,1
Middle-ground,10,0.2,235,223,135,119,1,1,823.2,660.2,0.8,33.5,2.2,12.8,5.2,2.979,0.336
Traiter,10,0.2,256,232,156,123.7,1,1,807.8,647.1,1.3,31.2,8.1,11.5,4.2,3.588,0.728
Lazy,10,0.3,130.5,145,30.5,32.7,1,1,724,653.3,1.1,30.6,0,12.7,4.2,3.577,0.158
