profile,sessions,gameOverRate,medianFinalGold,averageFinalGold,medianSurplus,averageSurplus,medianReputationRank,averageReputationRank,averageReputationEarned,averageIncome,averageUpkeep,averageLevelUpSpend,averageXpGranted,averageLevelUpsBought,averageOrdersCompleted,averageCleanSuccesses,averageMessySuccesses,averageOrdersFailed,averageOrdersReferred,averageWounds,averageDeaths,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageCaseQuality
Investigator,10,0.5,134,345.2,7.5,205.7,1.5,1.8,423.05,1692.1,766.4,673,3773.6,9.2,25.2,13.4,7.8,0.2,3.3,13.5,4.5,2.55,139.737,2.48,41.233,32.525,0.971
Middle-ground,10,0,312.5,423,212.5,323,2,2,444.2,2056.8,844.7,842.1,3878.8,12.7,31.7,6.7,21.1,3.3,0.5,18.6,5,3.65,118.365,2.105,38.856,37.934,0.355
Traiter,10,0,340,379.3,240,279.3,2,2,325.25,1635.1,792.1,501.7,3009,8.6,25.3,3.8,16.2,2.4,5.5,18.5,6.3,2.7,116.786,2.171,37.162,35.074,0.739
Lazy,10,0.1,855,836.3,755,730.8,2,1.9,288.65,1555.9,767.1,0,2939.5,0,23.3,1.3,17.3,4.8,0,19.2,6.2,1.517,102.992,2.209,32.088,37.688,0.179
